LexToken(VOID,'void',3,0)
LexToken(ID,'main',3,5)
LexToken(LPAREN,'(',3,9)
LexToken(RPAREN,')',3,10)
LexToken(LBRACE,'{',3,12)
LexToken(LIST,'List',4,16)
LexToken(LESS,'<',4,20)
LexToken(STRING,'String',4,21)
LexToken(QUESTION,'?',4,27)
LexToken(GREATER,'>',4,28)
LexToken(ID,'pruebas',4,30)
LexToken(ASSIGN,'=',4,38)
LexToken(LBRACKET,'[',4,40)
LexToken(STRING,'Anita lava la tina',5,46)
LexToken(COMMA,',',5,66)
LexToken(STRING,'¿Acaso hubo búhos acá?',6,72)
LexToken(COMMA,',',6,96)
LexToken(STRING,'No es palindromo',7,102)
LexToken(COMMA,',',7,120)
LexToken(STRING,'',8,126)
LexToken(COMMA,',',8,128)
LexToken(ID,'null',9,134)
LexToken(COMMA,',',9,138)
LexToken(RBRACKET,']',10,142)
LexToken(SEMICOLON,';',10,143)
LexToken(FOR,'for',11,147)
LexToken(LPAREN,'(',11,151)
LexToken(VAR,'var',11,152)
LexToken(ID,'texto',11,156)
LexToken(IN,'in',11,162)
LexToken(ID,'pruebas',11,165)
LexToken(RPAREN,')',11,172)
LexToken(LBRACE,'{',11,174)
LexToken(TRY,'try',12,180)
LexToken(LBRACE,'{',12,184)
LexToken(BOOL,'bool',13,192)
LexToken(ID,'es',13,197)
LexToken(ASSIGN,'=',13,200)
LexToken(ID,'esPalindromo',13,202)
LexToken(LPAREN,'(',13,214)
LexToken(ID,'texto',13,215)
LexToken(RPAREN,')',13,220)
LexToken(SEMICOLON,';',13,221)
LexToken(PRINT,'print',14,229)
LexToken(LPAREN,'(',14,234)
LexToken(SINGLE_QUOTE,"'",14,235)
LexToken(STRING,'$texto',14,236)
LexToken(DOLLAR_SIGN,'$',14,245)
LexToken(LBRACE,'{',14,246)
LexToken(ID,'es',14,247)
LexToken(QUESTION,'?',14,250)
LexToken(STRING,'es',14,252)
LexToken(COLON,':',14,257)
LexToken(STRING,'no es',14,259)
LexToken(RBRACE,'}',14,266)
LexToken(ID,'un',14,268)
LexToken(ID,'pal',14,271)
LexToken(ID,'ndromo',14,275)
LexToken(DOT,'.',14,281)
LexToken(SINGLE_QUOTE,"'",14,282)
LexToken(RPAREN,')',14,283)
LexToken(SEMICOLON,';',14,284)
LexToken(RBRACE,'}',15,290)
LexToken(CATCH,'catch',15,292)
LexToken(LPAREN,'(',15,298)
LexToken(ID,'e',15,299)
LexToken(RPAREN,')',15,300)
LexToken(LBRACE,'{',15,302)
LexToken(PRINT,'print',16,310)
LexToken(LPAREN,'(',16,315)
LexToken(SINGLE_QUOTE,"'",16,316)
LexToken(ID,'Error',16,317)
LexToken(ID,'con',16,323)
LexToken(ID,'entrada',16,327)
LexToken(STRING,'$texto',16,335)
LexToken(COLON,':',16,343)
LexToken(DOLLAR_SIGN,'$',16,345)
LexToken(ID,'e',16,346)
